,Entity,Code,Year,Number of executions (Amnesty International),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Intestinal infectious diseases - Sex: Both - Age: All Ages (Number),Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),Terrorism (deaths),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Hepatitis - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Parkinson disease - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Poisonings - Sex: Both - Age: All Ages (Number)
5644,Sub-Saharan Africa,,1990,,192399.89408095786,789891.4414640253,22865.064083200003,228650.8933585344,660.0,564134.0321623677,42830.23918270371,66523.49407572825,120034.39665207412,108209.45342073648,186552.92486682432,17580.809055514914,282857.0595088144,6472.6917034508315,24129.101224727467,553443.8253157337,43056.33738222472,47460.95643242006,278121.33130246424,3984.161296036972,387326.4026423711,124174.15988428994,84840.04603709791,618324.1928119077,5630.93260221687,290.1183280548264,745400.9541569351,4114.317160328222,237325.05119826927,37318.7078833754,67787.87359507503,64322.65337324264,9067.719734198028
5645,Sub-Saharan Africa,,1991,,194263.47668169765,796990.6733955088,22795.797031000002,229630.64375671613,1347.0,576577.9235638729,44213.01500565544,67875.16310612726,121571.42619842249,111300.3051604025,191748.80062025087,17522.79094144387,289445.39600509143,6643.718327861093,24382.25545319001,573513.7555209253,43748.44126954735,50048.89012366165,354706.3969214417,4216.225978717127,395702.6120994765,126645.57596244008,85722.52006860102,628098.3522454121,5856.815630009205,574.2736856126493,763065.1744592654,4256.837539141904,238217.72923383888,38531.71637682998,29642.537655848988,66232.07447676468,9105.417293523396
5646,Sub-Saharan Africa,,1992,,198449.42182547465,807614.5809419566,22752.392223299998,232309.1996493688,2442.0,593018.0800446515,45767.68693840667,69653.86641430117,123742.51824186445,114798.5352230706,197720.45131581448,17611.079030986144,297931.30295308144,6842.650670576873,24779.54458457728,592208.0422319254,44218.218854944054,57030.28521213301,440014.9430374007,4558.053693554904,406547.0016894212,130191.12854032012,87238.85766094322,640277.7408707406,6120.983754655779,9.000000002003784,762717.9810883836,4438.077479055537,240873.0009984029,40142.166792134245,11120.195592877924,68731.53638870356,9314.042850373164
5647,Sub-Saharan Africa,,1993,,200185.7397295413,817220.2622278173,22644.902054599996,234598.77525185762,,606839.7081418844,47242.90849168547,71005.40942884002,125250.34746011195,117519.67339025176,202601.22786482112,17641.700829231868,304841.4021687904,7030.692721303673,24975.27354553207,609328.8797580778,44679.08967880419,57989.631127654095,532621.768041925,4661.236473269244,414137.2377154174,131804.32841389792,88445.3281882636,653893.6158525696,6335.176178342447,78.03265743735697,766791.8679883998,4571.716123076266,243137.9759214135,41070.1841612429,18291.931953431453,70872.48622642714,9449.167751913148
5648,Sub-Saharan Africa,,1994,,199986.93039746946,824531.752244089,22745.810220800002,236188.5582060213,3232.0,623133.1496957993,48890.207571188184,72617.3627733908,127237.47540823695,120608.57139538538,208053.65442641612,17703.25977758762,313417.44767555344,7240.666546281273,25295.76714083501,623397.1837579692,45040.77665974487,55767.129552889695,630211.1996454498,4969.482229426591,423668.9717556543,134840.26027274987,89797.86228762912,660547.4622382243,6600.142279416342,954.4540268029108,777906.2273520394,4744.6286735349795,244699.11624293125,42492.685313541086,530764.2379669971,73717.65256981559,9585.586502184702
5649,Sub-Saharan Africa,,1995,,202011.15892238225,829826.8144950111,22178.3289018,236426.21746125305,1320.0,638366.1704433799,50363.91202525823,74097.18568081922,128881.44249138913,123919.17784763752,213855.8001566212,17821.629333725745,321922.51549690816,7431.613289644467,25454.33197486769,639457.3403137408,45172.90771096356,56475.37238731454,732814.0604873048,5247.631477178343,433703.2206675947,137605.59732133293,91013.03580917008,675105.2127603361,6897.596677839621,344.5334962562928,779317.4571583937,4904.889890377861,244851.260797184,44031.49556661213,25042.90092655813,76460.72193257429,9696.541556366132
5650,Sub-Saharan Africa,,1996,,218185.6168305981,834504.2298575202,21876.6153978,232204.76908885268,2558.0,661659.0915035736,52179.84532232533,75804.80772277899,131765.82810501187,126827.72926941211,219219.94493974152,17753.587189887483,331313.8150583609,7676.883186012166,25667.764800658086,656851.9034359222,45045.11802155458,59288.88342768264,840224.2784812265,5543.131142254012,441391.87799367646,140190.7286433152,91735.65257942073,687037.3898800538,7242.606552396582,292.5382151380142,777682.5495413133,5095.043292145688,240453.2894549252,45496.58044466398,54626.04701471185,80689.67188229793,9792.780803915522
5651,Sub-Saharan Africa,,1997,,206802.35983760425,839279.0472141445,21550.7603229,228525.72631969425,2188.0,681672.6017879901,53774.08013574727,77265.0497050971,133998.6074396607,129363.64858696135,224047.8760152204,17689.480353418327,340733.2547257273,7890.042694177834,25969.473091608063,676106.7179633264,45228.950263380604,60030.948294118876,948944.5243639824,6310.397888651101,447484.82638581994,143091.17306869055,91989.53101655046,701288.91446437,7620.017496873605,3156.8652519253637,773090.6384923535,5232.205343693955,236591.9004606309,47412.11633272321,89954.56525640367,84615.38732086841,10019.754423612863
5652,Sub-Saharan Africa,,1998,,205071.23094519702,841855.8827694448,21222.639891400002,225510.03591339235,1437.0,697140.6531215014,55101.19161369414,78360.92280786956,135311.38828902124,131384.35427681677,228259.26770775684,17635.69498353476,348092.9114733464,8055.710502923621,26248.757852967974,696651.8468232199,45082.616974599616,63676.580333162536,1056481.8387343818,6506.992240816728,457634.4120360644,146366.30472689544,93045.91881227137,709880.0832407976,7862.546887891971,275.1159322914878,772563.5489089809,5383.001293201138,233376.40293735184,49089.29050737635,73414.31784143749,87583.78072514053,10043.817722285272
5653,Sub-Saharan Africa,,1999,,204404.35789417234,839644.777739038,20902.799454199998,222997.0247687709,885.0,707288.4951160833,56272.74802632912,78881.34651801239,135896.8264601875,133438.34129862773,231913.14542212326,17529.725332327784,352956.5024513447,8214.516060895727,26349.997110866312,717986.0857821942,45049.07929587996,67031.73683494634,1161280.865979425,6492.191247705286,467528.4510307143,148176.2496982349,93437.37325750019,718496.1765899764,7899.3806629094115,681.0541644323737,763368.2157342522,5520.247026847622,230508.2299815747,50321.67164841028,111272.31879738472,89754.15505137401,10147.660089978863
